module,name,kind,internal_count,src_count,dev_count,test_count,comment
glimra/oniguruma_parser/parser,parse,fn,8,11,0,11,
glimra/oniguruma_parser/parser/token_types,TokenCharacterSetKind,type,2,4,0,0,
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
/Users/s0001325/repos/glimra/count_usages.sh: line 74: [[: 0
0: syntax error in expression (error token is "0")
glimra/oniguruma_parser/parser/token_types,TokenDirectiveKind,type,1,0,0,0,internal_only
glimra/oniguruma_parser/parser/token_types,TokenGroupOpenKind,type,1,2,0,0,
glimra/oniguruma_parser/parser/token_types,TokenQuantifierKind,type,1,4,0,0,
glimra/oniguruma_parser/parser/token_types,Token,type,6,33,1,6,
glimra/oniguruma_parser/parser/token_types,EscapedNumberToken,type,2,3,0,0,
glimra/oniguruma_parser/parser/token_types,TokenOrIntermediate,type,0,36,0,0,
glimra/oniguruma_parser/parser/token_types,FlagProperties,type,4,16,0,0,
glimra/oniguruma_parser/parser/token_types,TextSegmentMode,type,1,4,0,2,
glimra/oniguruma_parser/parser/token_types,TokenizeResult,type,1,8,0,0,
glimra/oniguruma_parser/parser/token_types,token_raw,fn,0,2,0,0,
glimra/oniguruma_parser/parser/token_types,default_flag_properties,fn,0,1,0,0,
glimra/oniguruma_parser/parser/token_types,token_cs_kind_to_ast,fn,0,1,0,0,
glimra/oniguruma_parser/parser/ast_types,AssertionKind,type,1,2,0,2,
glimra/oniguruma_parser/parser/ast_types,AbsenceFunctionKind,type,1,0,0,2,
glimra/oniguruma_parser/parser/ast_types,CharacterClassKind,type,1,0,0,2,
glimra/oniguruma_parser/parser/ast_types,CharacterSetKind,type,1,1,0,2,
glimra/oniguruma_parser/parser/ast_types,DirectiveKind,type,1,0,0,2,
glimra/oniguruma_parser/parser/ast_types,LookaroundAssertionKind,type,1,0,0,2,
glimra/oniguruma_parser/parser/ast_types,QuantifierKind,type,1,1,0,2,
